球球大作战	1615	862	711	1355	0.52	0.84	0.82
j20	1702	857	844	1659	0.51	0.97	0.98
韩国女主播	2526	856	365	837	0.44	0.33	0.43
一转成双	2101	856	786	1768	0.44	0.84	0.92
亲爱的公主病	1469	848	846	1459	0.58	0.99	1.00
s6总决赛	3880	846	801	3696	0.22	0.95	0.95
做爱	2584	845	602	1786	0.34	0.69	0.71
永远在路上	1993	839	816	1887	0.43	0.95	0.97
红星照耀中国	1973	834	832	1866	0.45	0.95	1.00
武林外传	1102	833	833	1101	0.76	1.00	1.00
海底小纵队	1374	828	776	1263	0.61	0.92	0.94
一年级	2243	827	822	2213	0.37	0.99	0.99
今日说法	2037	826	826	2016	0.41	0.99	1.00
岳云鹏孙越爆笑相声	1770	826	739	1466	0.50	0.83	0.89
花千骨	936	823	822	923	0.89	0.99	1.00
好家伙	1653	820	819	1645	0.50	1.00	1.00
釜山行	5502	819	774	5169	0.15	0.94	0.95
我的二哥二嫂 电视剧	866	817	816	852	0.96	0.98	1.00
我的特工爷爷	1800	817	814	1772	0.46	0.98	1.00
猪猪侠之梦想守卫者	1412	817	814	1320	0.62	0.93	1.00
曹赟定	1401	815	695	1130	0.62	0.81	0.85
	309	814	814	309	2.63	1.00	1.00
蜡笔小新	1677	814	811	1629	0.50	0.97	1.00
挖掘机视频表演	1264	812	553	713	0.78	0.56	0.68
极限特工3(终极回归)	7590	810	804	7431	0.11	0.98	0.99
w两个世界	1918	807	786	1872	0.42	0.98	0.97
中国式闹婚	1573	804	780	1249	0.62	0.79	0.97
闹婚	2310	803	638	948	0.67	0.41	0.79
全职法师	1831	792	792	1816	0.44	0.99	1.00
强奸	2407	789	466	1184	0.39	0.49	0.59
安居	1484	783	783	1479	0.53	1.00	1.00
配种	1637	776	436	516	0.84	0.32	0.56
亮剑	1273	768	767	1250	0.61	0.98	1.00
奔跑吧兄弟	1339	766	764	1327	0.58	0.99	1.00
东方战场	933	761	759	928	0.82	0.99	1.00
我们来了	1703	746	746	1676	0.45	0.98	1.00
最佳前男友	1057	745	745	1035	0.72	0.98	1.00
大耳朵图图	1375	733	733	1352	0.54	0.98	1.00
董明珠	1442	731	631	1067	0.59	0.74	0.86
珠海航展直播	2413	730	685	2263	0.30	0.94	0.94
dj舞曲 超劲爆	2272	728	447	1036	0.43	0.46	0.61
ps教程	2102	723	637	1679	0.38	0.80	0.88
政委	1319	723	723	1313	0.55	1.00	1.00
新白娘子传奇	2812	712	623	2428	0.26	0.86	0.88
搞笑视频	2080	711	563	1649	0.34	0.79	0.79
还是夫妻	1012	710	709	994	0.71	0.98	1.00
真正男子汉第一季	1994	706	706	1959	0.36	0.98	1.00
斗鱼tv	5062	704	703	5019	0.14	0.99	1.00
丝袜	2561	702	278	897	0.31	0.35	0.40
欢喜密探 电视剧	1319	701	701	1316	0.53	1.00	1.00
豫剧	2129	701	430	1165	0.37	0.55	0.61
贝瓦儿歌	1136	696	692	1071	0.65	0.94	0.99
中南海保镖	2336	696	664	2147	0.31	0.92	0.95
熊出没之秋日团团转	1367	695	682	1257	0.54	0.92	0.98
湄公河行动	5674	694	649	5278	0.12	0.93	0.94
J20	1533	691	684	1476	0.46	0.96	0.99
寒山令 电视剧	1161	687	687	1150	0.60	0.99	1.00
伏击	1644	685	683	1621	0.42	0.99	1.00
相声	1775	684	485	1270	0.38	0.72	0.71
我的滑板鞋	1287	683	647	1104	0.59	0.86	0.95
解密	1027	682	679	994	0.68	0.97	1.00
亲密的搭档	1109	678	678	1058	0.64	0.95	1.00
爱人的谎言	899	676	673	884	0.76	0.98	1.00
陆垚知马俐	4713	676	657	4199	0.16	0.89	0.97
千金归来	855	676	673	832	0.81	0.97	1.00
小别离电视剧	948	675	673	943	0.71	0.99	1.00
正阳门下	1028	675	672	977	0.69	0.95	1.00
华为平板 m3	10174	674	674	10170	0.07	1.00	1.00
极乐净土	1896	673	357	909	0.39	0.48	0.53
幼儿舞蹈	1718	672	369	802	0.46	0.47	0.55
熊出没之丛林总动员	1532	664	641	1471	0.44	0.96	0.97
挖掘机	1176	660	408	857	0.48	0.73	0.62
小苹果	1644	651	546	1068	0.51	0.65	0.84
毛泽东	1529	644	502	916	0.55	0.60	0.78
风油精	1120	643	294	397	0.74	0.35	0.46
习近平	2990	643	303	1079	0.28	0.36	0.47
航展	1168	638	598	1082	0.55	0.93	0.94
云画的月光	1119	638	634	1104	0.57	0.99	0.99
神舟十一号	1231	635	569	1008	0.56	0.82	0.90
突围突围	974	632	632	962	0.66	0.99	1.00
彭德怀元帅	933	631	629	925	0.68	0.99	1.00
性感美女	1766	627	458	1186	0.39	0.67	0.73
美女写真	1487	622	437	785	0.56	0.53	0.70
末日人机	1134	622	599	1109	0.54	0.98	0.96
Mate9 Pro	5618	621	621	5618	0.11	1.00	1.00
如果我爱你	1181	620	616	1037	0.59	0.88	0.99
张全蛋	818	619	480	626	0.77	0.77	0.78
珠海航展开幕	1183	617	594	1072	0.55	0.91	0.96
电视剧	4952	613	428	3068	0.14	0.62	0.70
卧虎	681	613	613	679	0.90	1.00	1.00
奥特曼国语版	1229	611	572	1120	0.51	0.91	0.94
美女热舞	2515	607	246	800	0.31	0.32	0.41
守望先锋	1305	603	532	1161	0.46	0.89	0.88
成龙电影大全国语版	1063	602	311	416	0.75	0.39	0.52
歼20珠海航展首亮相视频	886	602	593	859	0.69	0.97	0.99
红色	864	599	599	862	0.69	1.00	1.00
华为Mate9 Pro	6911	598	598	6911	0.09	1.00	1.00
水浒传	1082	598	592	1012	0.58	0.94	0.99
赵本山小品	1294	596	483	900	0.54	0.70	0.81
他来了请闭眼	1140	594	594	1120	0.53	0.98	1.00
蒙面歌王	1982	589	578	1893	0.31	0.96	0.98
旋风少女第二季	1010	585	583	966	0.60	0.96	1.00
了不起的孩子	1370	579	567	1324	0.43	0.97	0.98
雪姨被骂乱伦	2016	579	579	2016	0.29	1.00	1.00
恐龙	1393	577	362	936	0.39	0.67	0.63
儿童舞蹈	1195	567	411	777	0.53	0.65	0.72
seve	828	566	317	446	0.71	0.54	0.56
万圣节	1460	561	430	1166	0.37	0.80	0.77
跟我回家	785	559	559	783	0.71	1.00	1.00
雪豹	864	559	559	850	0.66	0.98	1.00
视频	4158	558	488	3794	0.13	0.91	0.87
,性交	1571	557	543	1378	0.39	0.88	0.97
你是我的姐妹	754	556	554	747	0.74	0.99	1.00
遇见王沥川国语	752	556	555	741	0.75	0.99	1.00
郑多燕减肥瘦身操	1142	556	474	889	0.53	0.78	0.85
闹伴娘	1369	552	294	525	0.56	0.38	0.53
轻松搞笑电视剧	2799	552	357	1293	0.28	0.46	0.65
太阳的后裔	1068	552	541	1025	0.53	0.96	0.98
好先生	887	549	544	878	0.62	0.99	0.99
锦绣未央	1312	546	506	1226	0.41	0.93	0.93
芈月传 电视剧	626	546	546	622	0.88	0.99	1.00
beautyleg	1371	545	252	559	0.45	0.41	0.46
动物交配全集高清版	751	545	293	219	1.34	0.29	0.54
从你的全世界路过	3063	543	537	2969	0.18	0.97	0.99
步步惊心	1049	541	539	1022	0.53	0.97	1.00
灰姑娘与4骑士	1019	539	539	1011	0.53	0.99	1.00
康熙王朝	833	539	531	771	0.69	0.93	0.99
马蓉	1381	539	468	1049	0.45	0.76	0.87
汪汪队立大功	816	536	527	801	0.66	0.98	0.98
赤裸特工	1429	534	498	1306	0.38	0.91	0.93
大王叫我来巡山	1279	533	425	918	0.46	0.72	0.80
乡村爱情8	1468	533	529	1435	0.37	0.98	0.99
running man 2016	1306	532	531	1288	0.41	0.99	1.00
雇佣兵	4563	532	518	4450	0.12	0.98	0.97
非你莫属	1386	531	523	1370	0.38	0.99	0.98
一人我饮酒醉	1094	531	319	625	0.51	0.57	0.60
机械师	1165	524	524	1160	0.45	1.00	1.00
打屁股	2008	523	140	562	0.25	0.28	0.27
幻城 电视剧	604	523	519	599	0.87	0.99	0.99
何以笙箫默 电视剧	803	522	522	802	0.65	1.00	1.00
小米MIX	544	522	419	434	0.97	0.80	0.80
亮剑 李幼斌	851	517	516	835	0.62	0.98	1.00
大声说出来	1302	514	508	1181	0.43	0.91	0.99
动画	1227	514	352	749	0.47	0.61	0.68
光影电视剧	715	514	514	714	0.72	1.00	1.00
鬼步舞	911	513	370	549	0.67	0.60	0.72
nba	2145	510	455	1936	0.24	0.90	0.89
少年包青天	751	510	510	750	0.68	1.00	1.00
柔术	1968	509	184	436	0.42	0.22	0.36
mc天佑	1426	505	321	834	0.38	0.58	0.64
猫和老鼠	1427	505	465	1142	0.41	0.80	0.92
董力	1045	504	275	526	0.52	0.50	0.55
极限挑战	1183	504	504	1179	0.43	1.00	1.00
你好乔安 电视剧	817	503	503	813	0.62	1.00	1.00
麻辣变形计	890	501	501	823	0.61	0.92	1.00
人体艺术	1656	501	395	988	0.40	0.60	0.79
反贪风暴2	4432	500	496	4329	0.11	0.98	0.99
鬼片	1637	500	310	613	0.51	0.37	0.62
越剧	1942	500	270	954	0.28	0.49	0.54
米奇妙妙屋	1012	496	485	884	0.55	0.87	0.98
金灿荣	1032	495	376	761	0.49	0.74	0.76
恐怖电影	1468	495	258	517	0.50	0.35	0.52
文明6	978	495	472	911	0.52	0.93	0.95
一站到底	1183	495	490	1162	0.42	0.98	0.99
余罪	2473	493	465	2338	0.20	0.95	0.94
不良人电视剧	1330	492	492	1305	0.38	0.98	1.00
英雄联盟	1306	492	480	1286	0.37	0.98	0.98
良辰之屋2	6287	491	491	6287	0.08	1.00	1.00
兰陵王妃	1775	490	458	1660	0.28	0.94	0.93
使徒行者	1487	490	488	1469	0.33	0.99	1.00
伪装者电视剧	619	490	490	619	0.79	1.00	1.00
潜伏	829	488	486	817	0.59	0.99	1.00
等着我	1692	487	456	1521	0.30	0.90	0.94
昆仑决	1434	487	473	1380	0.34	0.96	0.97
林正英电影大全列表	789	486	305	374	0.82	0.47	0.63
NBA	1594	485	440	1476	0.30	0.93	0.91
爆笑虫子	729	485	480	688	0.70	0.94	0.99
闹洞房脱光	1126	485	243	533	0.46	0.47	0.50
秦时明月	1264	484	483	1252	0.39	0.99	1.00
赵本山小品全集高清	1394	484	302	835	0.36	0.60	0.62
阴阳师	1183	483	455	1126	0.40	0.95	0.94
儿歌	798	482	449	715	0.63	0.90	0.93
安居电视剧	837	480	480	806	0.60	0.96	1.00
红旗漫卷西风	1032	480	472	963	0.49	0.93	0.98
